Id,X,Y,Z,V1,V2,V3,R,G,B,Artist,Parents
400,1.1593696792,-7.5381787538,-0.8788049052,2.3187393584,-15.0763575076,-1.7576098104,166,206,226,Blue Oyster Cult,50-51-52
401,-0.0063260719,-13.8304252597,-0.8687653367,-0.0126521438,-27.6608505194,-1.7375306734,31,120,180,Close Combat,44
402,6.1714806117,10.4272065573,1.4787081729,12.3429612234,20.8544131146,2.9574163458,178,223,138,Culture,34-35
403,1.4126018771,12.8823528372,-0.9166691256,2.8252037542,25.7647056744,-1.8333382512,51,160,40,DJ Yoda,42-43
404,3.4444223871,10.0065178275,-0.6609275223,6.8888447742,20.013035655,-1.3218550446,251,154,153,Donell Jones,36-37
405,-2.330361955,13.4343053078,1.4076361407,-4.66072391,26.8686106156,2.8152722814,227,26,28,Eight Frozen Modules,49
406,-1.6398352383,16.4539197046,-1.3029107762,-3.2796704766,32.9078394092,-2.6058215524,253,191,111,Funkstoerung,48
407,-1.1625026119,8.277278829,-0.7262894159,-2.3250052238,16.554557658,-1.4525788318,255,127,0,Joe McPhee,54
408,-2.9193347323,9.9195641616,-1.0359776696,-5.8386694646,19.8391283232,-2.0719553392,202,178,214,John Stevens,53
409,-1.2408444097,-1.0875553455,-0.0561326541,-2.4816888194,-2.175110691,-0.1122653082,27,158,119,Luis Miguel,30-31-32-33
410,-1.9417251536,-13.114863412,-0.176138101,-3.8834503072,-26.229726824,-0.352276202,217,95,2,MNEMIC,55-56-57-58
411,-1.2154838928,-12.0667209047,1.3522548252,-2.4309677856,-24.1334418094,2.7045096504,230,171,2,Regulations,45-46-47
412,-0.6477549871,5.2443657308,0.5495023093,-1.2955099742,10.4887314616,1.0990046186,166,118,29,Shawn Colvin,38-39-40-41
